Luke 1-5
Luke 6-10
Luke 11-15
Luke 16-20
Luke 21-24
Acts 1-5
Acts 6-10
Acts 11-15
Acts 16-20
Acts 21-25
Acts 26-28
Galatians 1-6
1 Thessalonians 1-5
2 Thessalonians 1-3
1 Corinthians 1-5
1 Corinthians 6-10
1 Corinthians 11-16
2 Corinthians 1-5
2 Corinthians 6-10
2 Corinthians 11-13
Romans 1-5
Romans 6-10
Romans 11-16
Colossians 1-4
Ephesians 1-6
Philemon; Philippians 1-4
1 Timothy 1-6
Titus 1-3
2 Timothy 1-4
Matthew 1-5
Matthew 6-10
Matthew 11-15
Matthew 16-20
Matthew 21-25
Matthew 26-28
Hebrews 1-5
Hebrews 6-10
Hebrews 11-13
James 1-5
Mark 1-5
Mark 6-10
Mark 11-16
1 Peter 1-5
2 Peter 1-3;  Jude
John 1-5
John 6-10
John 11-15
John 16-21
1 John 1-5
2 John 1; 3 John 1
Revelation 1-5
Revelation 6-10
Revelation 11-15
Revelation 16-20
Revelation 21-22
