BookID,Chapter,TotalVerses,WordCountKjv,ReadingTimeInSecondsKjvScourby
10,3,39,1143,351
10,4,12,434,119
10,5,25,624,201
10,6,23,713,201
10,7,29,858,286
10,8,18,447,148
10,9,13,408,131
10,10,19,608,177
10,11,27,814,248
10,12,31,992,315
10,13,39,1149,342
10,14,33,1117,333
10,15,37,1118,343
10,16,23,738,229
10,17,29,935,279
10,18,33,1096,341
10,19,43,1473,438
10,20,26,848,258
10,21,22,778,234
10,22,51,951,318
10,23,39,878,274
10,24,25,855,266
11,1,53,1500,458
11,2,46,1510,468
11,3,28,850,266
11,4,34,706,241
11,5,18,527,163
11,6,38,1018,311
11,7,51,1482,442
11,8,66,2139,707
11,9,28,826,264
11,10,29,839,264
11,11,43,1253,398
11,12,33,1038,316
11,13,34,1138,326
11,14,31,987,301
11,15,34,951,284
11,16,34,1035,296
11,17,24,680,204
11,18,46,1397,458
11,19,21,732,236
11,20,43,1480,446
11,21,29,908,277
11,22,53,1517,484
12,1,18,669,202
12,2,25,848,269
12,3,27,848,262
12,4,44,1369,416
12,5,27,975,305
12,6,33,1019,320
12,7,20,824,236
12,8,29,953,295
12,9,37,1205,364
12,10,36,1203,358
12,11,21,738,213
12,12,21,688,199
12,13,25,775,256
12,14,29,881,267
12,15,38,1092,325
12,16,20,656,193
12,17,41,1245,406
12,18,37,1220,375
12,19,37,1147,378
12,20,21,660,200
12,21,26,747,220
12,22,20,712,208
12,23,37,1477,426
12,24,20,584,177
12,25,30,982,296
13,1,54,683,262
13,2,55,846,318
13,3,24,347,142
13,4,43,852,307
13,5,26,664,208
13,6,81,1341,415
13,7,40,831,289
13,8,40,491,193
13,9,44,960,303
13,10,14,364,119
13,11,47,944,303
13,12,40,987,296
13,13,14,386,115
13,14,17,357,114
13,15,29,714,229
13,16,43,850,280
13,17,27,779,252
13,18,17,399,135
13,19,19,630,179
13,20,8,289,83
13,21,30,914,274
13,22,19,605,187
13,23,32,681,211
13,24,31,541,187
13,25,31,543,176
13,26,32,710,235
13,27,34,805,254
13,28,21,864,247
13,29,30,988,323
14,1,17,530,174
14,2,18,645,191
14,3,17,481,151
14,4,22,595,182
14,5,14,497,146
14,6,42,1402,456
14,7,22,748,238
14,8,18,536,159
14,9,31,882,270
14,10,19,560,166
14,11,23,486,162
14,12,16,481,156
14,13,22,642,209
14,14,15,448,139
14,15,19,518,152
14,16,14,479,150
14,17,19,459,149
14,18,34,1050,313
14,19,11,352,110
14,20,37,1148,358
14,21,20,623,190
14,22,12,444,131
14,23,21,788,218
14,24,27,933,269
14,25,28,970,278
14,26,23,721,217
14,27,9,244,76
14,28,27,896,276
14,29,36,1157,347
14,30,27,869,267
14,31,21,757,229
14,32,33,1084,334
14,33,25,780,238
14,34,33,1223,337
14,35,27,900,261
14,36,23,741,234
15,1,11,371,110
15,2,70,998,313
15,3,13,547,158
15,4,24,769,225
15,5,17,583,155
15,6,22,778,227
15,7,28,863,246
15,8,36,990,307
15,9,15,617,213
15,10,44,924,325
16,1,11,390,122
16,2,20,718,210
16,3,32,896,294
16,4,23,716,208
16,5,19,636,195
16,6,19,602,182
16,7,73,1176,372
16,8,18,686,226
16,9,38,1328,452
16,10,39,652,225
16,11,36,788,256
16,12,47,930,319
16,13,31,962,289
17,1,22,716,213
17,2,23,806,242
17,3,15,552,168
17,4,17,517,162
17,5,14,494,146
17,6,14,476,142
17,7,10,345,105
17,8,17,650,188
17,9,32,984,291
17,10,3,93,38
18,1,22,641,207
18,2,13,387,124
18,3,26,434,153
18,4,21,336,112
18,5,27,446,147
18,6,30,482,163
18,7,21,394,131
18,8,22,340,117
18,9,35,544,191
18,10,22,402,137
18,11,20,337,110
18,12,25,399,137
18,13,28,413,135
18,14,22,410,149
18,15,35,549,178
18,16,22,375,128
18,17,16,262,93
18,18,21,342,99
18,19,29,475,163
18,20,29,521,150
18,21,34,522,166
18,22,30,482,165
18,23,17,280,99
18,24,25,481,171
18,25,6,90,31
18,26,14,206,77
18,27,23,373,125
18,28,28,455,148
18,29,25,404,133
18,30,31,514,175
18,31,40,691,212
18,32,22,375,113
18,33,33,525,166
18,34,37,615,199
18,35,16,254,90
18,36,33,495,164
18,37,24,402,138
18,38,41,659,246
18,39,30,477,169
18,40,24,361,133
18,41,34,507,189
18,42,17,441,163
19,1,6,130,42
19,2,12,206,68
19,3,8,139,51
19,4,8,165,56
19,5,12,245,78
19,6,10,159,60
19,7,17,327,110
19,8,9,166,57
19,9,20,367,126
19,10,18,350,119
19,11,7,128,52
19,12,8,147,56
19,13,6,107,43
19,14,7,149,54
19,15,5,99,46
19,16,11,206,73
19,17,15,311,106
19,18,50,918,304
19,19,14,272,96
19,20,9,144,55
19,21,13,246,82
19,22,31,580,196
19,23,6,118,42
19,24,10,178,67
19,25,22,342,119
19,26,12,183,65
19,27,14,340,107
19,28,9,201,67
19,29,11,179,64
19,30,12,231,82
19,31,24,498,166
19,32,11,241,83
19,33,22,350,110
19,34,22,347,110
19,35,28,564,189
19,36,12,223,78
19,37,40,702,237
19,38,22,361,125
19,39,13,270,98
19,40,17,400,139
19,41,13,240,82
19,42,11,280,103
19,43,5,130,46
19,44,26,451,146
19,45,17,327,117
19,46,11,204,75
19,47,9,143,51
19,48,14,229,77
19,49,20,337,136
19,50,23,400,149
19,51,19,322,132
19,52,9,165,65
19,53,6,152,55
19,54,7,110,40
19,55,23,435,147
19,56,13,225,82
19,57,11,230,86
19,58,11,218,83
19,59,17,339,113
19,60,12,211,79
19,61,8,133,46
19,62,12,228,96
19,63,11,194,71
19,64,10,184,63
19,65,13,267,95
19,66,20,327,111
19,67,7,111,42
19,68,35,698,253
19,69,36,670,222
19,70,5,102,41
19,71,24,471,157
19,72,20,369,126
19,73,28,423,159
19,74,23,413,156
19,75,10,189,70
19,76,12,193,67
19,77,20,330,135
19,78,72,1225,421
19,79,13,277,94
19,80,19,334,113
19,81,16,288,99
19,82,8,116,50
19,83,18,273,96
19,84,12,226,91
19,85,13,207,76
19,86,17,312,108
19,87,7,113,46
19,88,18,296,107
19,89,52,879,289
19,90,17,320,121
19,91,16,288,95
19,92,15,258,87
19,93,5,92,39
19,94,23,356,125
19,95,11,199,66
19,96,13,226,81
19,97,12,189,72
19,98,9,170,58
19,99,9,157,58
19,100,5,86,34
19,101,8,173,56
19,102,28,455,153
19,103,22,342,128
19,104,35,598,218
19,105,45,632,213
19,106,48,762,272
19,107,43,685,244
19,108,13,206,77
19,109,31,534,185
19,110,7,142,45
19,111,10,177,59
19,112,10,172,66
19,113,9,142,47
19,114,8,106,43
19,115,18,274,97
19,116,19,287,103
19,117,2,33,18
19,118,29,465,159
19,119,176,2445,904
19,120,7,88,35
19,121,8,110,43
19,122,9,124,46
19,123,4,94,38
19,124,8,121,45
19,125,5,108,43
19,126,6,94,41
19,127,5,110,44
19,128,6,101,36
19,129,8,119,45
19,130,8,116,50
19,131,3,60,28
19,132,18,280,103
19,133,3,69,32
19,134,3,44,20
19,135,21,329,118
19,136,26,353,117
19,137,9,165,73
19,138,8,172,61
19,139,24,410,150
19,140,13,239,83
19,141,10,203,77
19,142,7,151,55
19,143,12,252,94
19,144,15,302,115
19,145,21,331,121
19,146,10,178,76
19,147,20,299,119
19,148,14,202,84
19,149,9,143,56
19,150,6,85,46
20,1,33,519,194
